0,0.21
0.003,0.21
0.005,0.21
0.007,0.21
0.009,0.23
0.011,0.21
0.013,0.21
0.015,0.23
0.017,0.23
0.019,0.21
0.021,0.21
0.023,0.21
0.025,0.17
0.027,0.21
0.029,0.21
0.031,0.21
0.033,0.21
0.035,0.23
0.037,0.21
0.039,0.21
0.041,0.21
0.043,0.17
0.045,0.21
0.047,0.21
0.049,0.25
0.051,0.23
0.053,0.23
0.055,0.21
0.057,0.21
0.059,0.21
0.061,0.21
0.063,0.19
0.065,0.21
0.067,0.21
0.069,0.23
0.071,0.21
0.073,0.21
0.075,0.21
0.077,0.21
0.079,0.17
0.081,0.23
0.083,0.21
0.085,0.19
0.088,0.23
0.09,0.21
0.092,0.21
0.094,0.19
0.096,0.23
0.098,0.23
0.1,0.23
0.102,0.21
0.104,0.23
0.106,0.21
0.108,0.21
0.11,0.19
0.112,0.21
0.114,0.23
0.116,0.21
0.118,0.21
0.12,0.19
0.122,0.21
0.124,0.19
0.126,0.23
0.128,0.23
0.131,0.23
0.133,0.21
0.135,0.21
0.137,0.23
0.139,0.19
0.141,0.19
0.143,0.23
0.145,0.23
0.147,0.19
0.149,0.23
0.151,0.19
0.153,0.23
0.155,0.21
0.157,0.23
0.159,0.23
0.161,0.21
0.163,0.19
0.165,0.21
0.167,0.21
0.169,0.17
0.171,0.19
0.173,0.21
0.175,0.23
0.177,0.21
0.179,0.21
0.181,0.21
0.183,0.23
0.185,0.21
0.187,0.21
0.189,0.19
0.191,0.21
0.193,0.21
0.195,0.19
0.197,0.21
0.199,0.21
0.201,0.23
0.203,0.21
0.205,0.23
0.207,0.21
0.209,0.21
0.211,0.23
0.213,0.21
0.216,0.21
0.218,0.21
0.22,0.21
0.222,0.21
0.224,0.21
0.226,0.21
0.228,0.21
0.23,0.21
0.232,0.17
0.234,0.21
0.236,0.21
0.238,0.21
0.24,0.21
0.242,0.23
0.244,0.21
0.246,0.23
0.248,0.21
0.25,0.19
0.252,0.21
0.254,0.17
0.256,0.21
0.259,0.23
0.261,0.21
0.263,0.21
0.265,0.19
0.267,0.21
0.269,0.21
0.271,0.21
0.273,0.21
0.275,0.21
0.277,0.21
0.279,0.21
0.281,0.23
0.283,0.23
0.285,0.21
0.287,0.21
0.289,0.21
0.291,0.21
0.293,0.19
0.295,0.21
0.297,0.21
0.299,0.21
0.301,0.21
0.303,0.21
0.305,0.21
0.307,0.21
0.309,0.21
0.311,0.25
0.313,0.21
0.315,0.21
0.317,0.21
0.319,0.25
0.321,0.19
0.323,0.21
0.325,0.21
0.327,0.21
0.329,0.21
0.331,0.21
0.333,0.21
0.335,0.19
0.337,0.21
0.339,0.21
0.341,0.21
0.344,0.19
0.346,0.23
0.348,0.23
0.35,0.21
0.352,0.19
0.354,0.17
0.356,0.21
0.358,0.23
0.36,0.25
0.362,0.21
0.364,0.21
0.366,0.23
0.368,0.21
0.37,0.21
0.372,0.23
0.374,0.21
0.376,0.21
0.378,0.21
0.38,0.21
0.382,0.21
0.384,0.23
0.387,0.21
0.389,0.23
0.391,0.19
0.393,0.21
0.395,0.21
0.397,0.21
0.399,0.21
